Key,Context / Comment,Status,en,zh-Hans,zh-Hant,ja,ko,fr,es,it,pt-PT,nl,de,en-GB,el,th,vi,ms,id,hr
%@ %@,Combines value + label,🔧 Technical,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@
%@: %@,label: value,🔧 Technical,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@
%@: %@%@,label: value+unit,🔧 Technical,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@
%@. %@,title. subtitle,🔧 Technical,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@
%lld,Step number,🔧 Technical,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld
%lld%%,O₂ percentage,🔧 Technical,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%
°C,Temperature unit,🔧 Technical,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
O₂,Oxygen symbol,🔧 Technical,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂
O₂ %,Oxygen % label,🔧 Technical,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %
"%@, %@ m, %@","Location, depth, duration",✅ Active,"%1$@, %2$@ m, %3$@","%1$@, %2$@ 米, %3$@","%1$@, %2$@ 公尺, %3$@",%1$@、%2$@ m、%3$@,"%1$@, %2$@m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ μ., %3$@","%1$@, %2$@ ม., %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@"
